# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-27T15:13:13.915587
# Sample Interval (s),0.1

# Boards
#,ard,unknown,Connected

# Devices
#,led,DigitalOutput,board=ard,output=13
#,wire,DigitalInput,board=ard,input=8
#,touch_led,DigitalOutput,board=ard,output=11

timestamp,elapsed_ms,led:DigitalOutput,wire:DigitalInput,touch_led:DigitalOutput
2025-12-27T15:13:39.103,25187.7,1,0,0
2025-12-27T15:13:39.212,25297.0,1,0,0
2025-12-27T15:13:39.321,25406.3,1,0,0
2025-12-27T15:13:39.431,25515.8,1,0,0
2025-12-27T15:13:39.535,25619.6,1,0,0
2025-12-27T15:13:39.643,25728.1,1,0,0
2025-12-27T15:13:39.751,25836.3,1,0,0
2025-12-27T15:13:39.864,25949.2,1,0,0
2025-12-27T15:13:39.973,26057.7,1,0,0
2025-12-27T15:13:40.082,26166.4,1,0,0
2025-12-27T15:13:40.190,26274.7,1,0,0
2025-12-27T15:13:40.299,26384.1,1,0,0
2025-12-27T15:13:40.409,26493.7,1,0,0
2025-12-27T15:13:40.518,26603.0,1,0,0
2025-12-27T15:13:40.627,26712.2,1,0,0
2025-12-27T15:13:40.737,26821.6,1,0,0
2025-12-27T15:13:40.846,26930.8,1,0,0
2025-12-27T15:13:40.968,27052.5,0,0,0
2025-12-27T15:13:41.075,27159.6,0,0,0
2025-12-27T15:13:41.184,27268.8,0,0,0
2025-12-27T15:13:41.293,27378.3,0,0,0
2025-12-27T15:13:41.403,27487.6,0,0,0
2025-12-27T15:13:41.502,27587.0,0,0,0
2025-12-27T15:13:41.610,27695.0,0,0,0
2025-12-27T15:13:41.727,27811.7,0,0,0
2025-12-27T15:13:41.832,27916.5,0,0,0
2025-12-27T15:13:41.944,28028.4,0,0,0
2025-12-27T15:13:42.048,28132.7,0,0,0
2025-12-27T15:13:42.160,28245.2,0,0,0
2025-12-27T15:13:42.272,28356.8,0,0,0
2025-12-27T15:13:42.381,28465.7,0,0,0
2025-12-27T15:13:42.490,28575.1,0,0,0
2025-12-27T15:13:42.601,28685.5,0,0,0
2025-12-27T15:13:42.709,28793.9,0,0,0
2025-12-27T15:13:42.818,28903.1,0,0,0
2025-12-27T15:13:42.928,29012.7,0,0,0
2025-12-27T15:13:43.037,29122.3,0,0,0
2025-12-27T15:13:43.146,29231.4,0,0,0
2025-12-27T15:13:43.256,29340.8,0,0,0
2025-12-27T15:13:43.365,29450.0,0,0,0
2025-12-27T15:13:43.475,29559.6,0,0,0
2025-12-27T15:13:43.585,29669.8,0,0,0
2025-12-27T15:13:43.693,29778.2,0,0,0
2025-12-27T15:13:43.803,29887.6,0,0,0
2025-12-27T15:13:43.912,29997.1,0,0,0

# End Time,2025-12-27T15:13:43.915477
# Duration (s),30.00
