# GLIDER Experiment Data
# Experiment Name,Untitled Experiment
# Start Time,2025-12-30T12:58:50.698142
# Sample Interval (s),0.1

# Boards
#,Arduino,telemetrix,Connected

# Devices
#,led_1,DigitalOutput,board=Arduino,output=13
#,ana,AnalogInput,board=Arduino,input=14

timestamp,elapsed_ms,led_1:DigitalOutput,ana:AnalogInput
2025-12-30T12:59:12.421,21723.5,0,0
2025-12-30T12:59:12.532,21834.1,0,0
2025-12-30T12:59:12.642,21944.3,0,0
2025-12-30T12:59:12.754,22055.9,0,0
2025-12-30T12:59:12.865,22167.5,0,0
2025-12-30T12:59:12.961,22263.2,0,0
2025-12-30T12:59:13.073,22375.0,0,0
2025-12-30T12:59:13.186,22488.0,0,0
2025-12-30T12:59:13.296,22598.5,0,0
2025-12-30T12:59:13.408,22710.0,0,0
2025-12-30T12:59:13.521,22823.8,0,0
2025-12-30T12:59:13.629,22931.7,0,0
2025-12-30T12:59:13.742,23044.3,0,0
2025-12-30T12:59:13.856,23158.1,0,0
2025-12-30T12:59:13.966,23268.6,0,0
2025-12-30T12:59:14.077,23379.8,0,0
2025-12-30T12:59:14.189,23491.2,0,0
2025-12-30T12:59:14.300,23602.7,0,0
2025-12-30T12:59:14.412,23714.8,0,0
2025-12-30T12:59:14.524,23826.2,0,0
2025-12-30T12:59:14.635,23937.2,0,0
2025-12-30T12:59:14.746,24048.2,0,0
2025-12-30T12:59:14.860,24162.4,0,0
2025-12-30T12:59:14.971,24273.0,0,0
2025-12-30T12:59:15.082,24384.2,0,0
2025-12-30T12:59:15.194,24496.3,0,0
2025-12-30T12:59:15.289,24591.8,0,0
2025-12-30T12:59:15.401,24703.1,0,0
2025-12-30T12:59:15.512,24814.8,0,0
2025-12-30T12:59:15.624,24926.6,0,0
2025-12-30T12:59:15.735,25037.2,0,0
2025-12-30T12:59:15.846,25148.0,0,0
2025-12-30T12:59:15.959,25261.4,0,0
2025-12-30T12:59:16.069,25371.5,0,0
2025-12-30T12:59:16.181,25483.2,0,0
2025-12-30T12:59:16.293,25594.9,0,0
2025-12-30T12:59:16.404,25706.3,0,0
2025-12-30T12:59:16.516,25817.9,0,0
2025-12-30T12:59:16.630,25932.1,0,0
2025-12-30T12:59:16.740,26042.3,0,0
2025-12-30T12:59:16.852,26154.1,0,0
2025-12-30T12:59:16.963,26265.8,0,0
2025-12-30T12:59:17.075,26377.7,0,0
2025-12-30T12:59:17.187,26489.3,0,0
2025-12-30T12:59:17.300,26601.9,0,0
2025-12-30T12:59:17.411,26713.3,0,0
2025-12-30T12:59:17.522,26824.6,0,0
2025-12-30T12:59:17.618,26920.7,0,0
2025-12-30T12:59:17.730,27032.5,0,0
2025-12-30T12:59:17.841,27143.4,0,0
2025-12-30T12:59:17.954,27256.3,0,0
2025-12-30T12:59:18.065,27367.5,0,0
2025-12-30T12:59:18.176,27478.4,0,0
2025-12-30T12:59:18.288,27589.9,0,0
2025-12-30T12:59:18.399,27701.3,0,0
2025-12-30T12:59:18.512,27814.3,0,0
2025-12-30T12:59:18.624,27926.0,0,0
2025-12-30T12:59:18.735,28037.7,0,0
2025-12-30T12:59:18.847,28149.3,0,0
2025-12-30T12:59:18.959,28261.7,0,0
2025-12-30T12:59:19.070,28372.0,0,0
2025-12-30T12:59:19.182,28484.0,0,0
2025-12-30T12:59:19.293,28595.7,0,0
2025-12-30T12:59:19.405,28707.1,0,0
2025-12-30T12:59:19.516,28818.6,0,0
2025-12-30T12:59:19.628,28930.1,0,0
2025-12-30T12:59:19.740,29042.1,0,0
2025-12-30T12:59:19.850,29152.3,0,0
2025-12-30T12:59:19.947,29249.4,0,0
2025-12-30T12:59:20.058,29360.4,0,0
2025-12-30T12:59:20.170,29472.2,0,0
2025-12-30T12:59:20.281,29583.7,0,0
2025-12-30T12:59:20.394,29696.8,0,0
2025-12-30T12:59:20.505,29807.2,0,0
2025-12-30T12:59:20.616,29918.7,0,0
2025-12-30T12:59:20.712,30014.5,0,0
2025-12-30T12:59:20.823,30125.5,0,0
2025-12-30T12:59:20.935,30237.7,0,0
2025-12-30T12:59:21.048,30350.0,0,0
2025-12-30T12:59:21.159,30461.2,0,0
2025-12-30T12:59:21.270,30572.1,0,0
2025-12-30T12:59:21.380,30682.7,0,0
