# GLIDER Tracking Data
# Experiment,Untitled Experiment
# Start Time,2026-01-05T14:27:17.597861
# Calibration,Not calibrated (distances in pixels)

frame,timestamp,elapsed_ms,object_id,class,x,y,w,h,confidence,center_x,center_y,distance_px,distance_mm,cumulative_mm
234,2026-01-05T14:27:25.650,8053.1,1,person,133,304,178,175,0.855,222.0,391.5,2.50,15.81,7265.88
235,2026-01-05T14:27:25.687,8090.1,1,person,120,303,183,176,0.696,211.5,391.0,10.51,66.48,7332.36
236,2026-01-05T14:27:25.719,8122.1,1,person,117,300,187,178,0.772,210.5,389.0,2.24,14.14,7346.50
237,2026-01-05T14:27:25.751,8154.1,1,person,108,298,192,180,0.853,204.0,388.0,6.58,41.59,7388.09
238,2026-01-05T14:27:25.783,8186.1,1,person,104,296,196,183,0.862,202.0,387.5,2.06,13.04,7401.13
239,2026-01-05T14:27:25.816,8219.1,1,person,99,294,200,185,0.845,199.0,386.5,3.16,20.00,7421.13
240,2026-01-05T14:27:25.849,8252.1,1,person,95,291,203,187,0.839,196.5,384.5,3.20,20.25,7441.37
241,2026-01-05T14:27:25.881,8284.1,1,person,93,288,206,190,0.830,196.0,383.0,1.58,10.00,7451.37
242,2026-01-05T14:27:25.912,8315.1,1,person,91,283,210,195,0.769,196.0,380.5,2.50,15.81,7467.18
243,2026-01-05T14:27:25.943,8346.1,1,person,76,279,217,200,0.851,184.5,379.0,11.60,73.34,7540.53
244,2026-01-05T14:27:25.975,8378.1,1,person,60,272,225,207,0.837,172.5,375.5,12.50,79.05,7619.58
245,2026-01-05T14:27:26.009,8412.1,1,person,48,266,233,213,0.882,164.5,372.5,8.54,54.03,7673.62
246,2026-01-05T14:27:26.055,8458.1,1,person,49,258,239,220,0.584,168.5,368.0,6.02,38.08,7711.69
247,2026-01-05T14:27:26.087,8490.1,1,person,31,253,246,226,0.844,154.0,366.0,14.64,92.57,7804.26
248,2026-01-05T14:27:26.121,8524.1,1,person,20,246,254,233,0.812,147.0,362.5,7.83,49.49,7853.76
249,2026-01-05T14:27:26.157,8560.1,1,person,8,238,263,241,0.896,139.5,358.5,8.50,53.76,7907.51
250,2026-01-05T14:27:26.191,8594.1,1,person,1,232,270,247,0.911,136.0,355.5,4.61,29.15,7936.66
251,2026-01-05T14:27:26.224,8627.1,1,person,0,227,272,252,0.911,136.0,353.0,2.50,15.81,7952.48
252,2026-01-05T14:27:26.261,8663.5,1,person,0,222,273,256,0.903,136.5,350.0,3.04,19.23,7971.71
253,2026-01-05T14:27:26.295,8697.5,1,person,0,218,274,260,0.926,137.0,348.0,2.06,13.04,7984.75
254,2026-01-05T14:27:26.326,8728.5,1,person,0,215,274,264,0.935,137.0,347.0,1.00,6.32,7991.07
255,2026-01-05T14:27:26.357,8759.5,1,person,0,212,275,267,0.916,137.5,345.5,1.58,10.00,8001.07
256,2026-01-05T14:27:26.390,8792.5,1,person,0,209,276,269,0.912,138.0,343.5,2.06,13.04,8014.11
257,2026-01-05T14:27:26.425,8827.7,1,person,0,208,277,271,0.904,138.5,343.5,0.50,3.16,8017.27
258,2026-01-05T14:27:26.460,8862.7,1,person,0,206,277,272,0.906,138.5,342.0,1.50,9.49,8026.76
259,2026-01-05T14:27:26.491,8893.7,1,person,0,206,277,273,0.923,138.5,342.5,0.50,3.16,8029.92
260,2026-01-05T14:27:26.523,8925.7,1,person,0,205,278,274,0.936,139.0,342.0,0.71,4.47,8034.39
261,2026-01-05T14:27:26.556,8958.7,1,person,0,204,279,274,0.939,139.5,341.0,1.12,7.07,8041.46
262,2026-01-05T14:27:26.588,8990.7,1,person,0,203,280,276,0.937,140.0,341.0,0.50,3.16,8044.62
263,2026-01-05T14:27:26.621,9023.7,1,person,0,202,282,277,0.941,141.0,340.5,1.12,7.07,8051.69
264,2026-01-05T14:27:26.655,9057.7,1,person,0,202,283,277,0.943,141.5,340.5,0.50,3.16,8054.86
265,2026-01-05T14:27:26.688,9090.7,1,person,0,201,285,277,0.945,142.5,339.5,1.41,8.94,8063.80
266,2026-01-05T14:27:26.722,9124.2,1,person,0,201,287,278,0.946,143.5,340.0,1.12,7.07,8070.87
267,2026-01-05T14:27:26.755,9157.2,1,person,2,200,288,278,0.932,146.0,339.0,2.69,17.03,8087.90
268,2026-01-05T14:27:26.787,9189.2,1,person,3,199,291,279,0.938,148.5,338.5,2.55,16.12,8104.02
269,2026-01-05T14:27:26.824,9226.2,1,person,5,198,293,280,0.937,151.5,338.0,3.04,19.23,8123.26
270,2026-01-05T14:27:26.859,9261.2,1,person,8,197,296,281,0.927,156.0,337.5,4.53,28.63,8151.89
271,2026-01-05T14:27:26.893,9295.2,1,person,10,196,300,282,0.931,160.0,337.0,4.03,25.49,8177.39
272,2026-01-05T14:27:26.925,9327.2,1,person,14,196,303,282,0.892,165.5,337.0,5.50,34.78,8212.17
273,2026-01-05T14:27:26.960,9362.2,1,person,17,196,307,282,0.672,170.5,337.0,5.00,31.62,8243.79
274,2026-01-05T14:27:26.992,9394.2,1,person,54,194,305,284,0.707,206.5,336.0,36.01,227.76,8471.55
275,2026-01-05T14:27:27.026,9428.2,1,person,79,195,302,284,0.771,230.0,337.0,23.52,148.75,8620.30
276,2026-01-05T14:27:27.061,9463.2,1,person,107,195,298,284,0.722,256.0,337.0,26.00,164.43,8784.73
277,2026-01-05T14:27:27.094,9496.2,1,person,97,194,304,284,0.769,249.0,336.0,7.07,44.72,8829.45
278,2026-01-05T14:27:27.127,9529.2,1,person,109,192,310,286,0.827,264.0,335.0,15.03,95.07,8924.52
279,2026-01-05T14:27:27.159,9561.2,1,person,115,190,317,289,0.870,273.5,334.5,9.51,60.16,8984.69
280,2026-01-05T14:27:27.190,9592.2,1,person,133,187,322,292,0.851,294.0,333.0,20.55,129.99,9114.68
281,2026-01-05T14:27:27.224,9626.2,1,person,144,184,328,295,0.856,308.0,331.5,14.08,89.05,9203.73
282,2026-01-05T14:27:27.256,9658.2,1,person,157,178,334,300,0.889,324.0,328.0,16.38,103.58,9307.31
283,2026-01-05T14:27:27.291,9693.6,1,person,174,174,338,305,0.870,343.0,326.5,19.06,120.53,9427.84
284,2026-01-05T14:27:27.322,9724.6,1,person,184,170,340,308,0.810,354.0,324.0,11.28,71.34,9499.18
285,2026-01-05T14:27:27.354,9756.6,1,person,198,168,341,311,0.786,368.5,323.5,14.51,91.76,9590.94
286,2026-01-05T14:27:27.388,9790.6,1,person,208,165,342,313,0.914,379.0,321.5,10.69,67.60,9658.53
287,2026-01-05T14:27:27.419,9821.6,1,person,217,163,342,315,0.905,388.0,320.5,9.06,57.27,9715.80
288,2026-01-05T14:27:27.451,9853.6,1,person,226,161,341,317,0.911,396.5,319.5,8.56,54.13,9769.93
289,2026-01-05T14:27:27.485,9887.6,1,person,235,160,341,318,0.918,405.5,319.0,9.01,57.01,9826.93
290,2026-01-05T14:27:27.516,9919.1,1,person,243,159,341,319,0.915,413.5,318.5,8.02,50.69,9877.63
291,2026-01-05T14:27:27.548,9951.1,1,person,250,158,341,320,0.915,420.5,318.0,7.02,44.38,9922.01
292,2026-01-05T14:27:27.591,9994.1,1,person,259,157,341,321,0.915,429.5,317.5,9.01,57.01,9979.01
293,2026-01-05T14:27:27.623,10026.1,1,person,266,156,342,322,0.928,437.0,317.0,7.52,47.54,10026.55
294,2026-01-05T14:27:27.658,10061.1,1,person,268,155,343,323,0.933,439.5,316.5,2.55,16.12,10042.67
295,2026-01-05T14:27:27.690,10093.1,1,person,269,154,343,324,0.934,440.5,316.0,1.12,7.07,10049.75
296,2026-01-05T14:27:27.724,10127.1,1,person,270,154,343,325,0.933,441.5,316.5,1.12,7.07,10056.82
297,2026-01-05T14:27:27.757,10160.1,1,person,271,153,344,326,0.933,443.0,316.0,1.58,10.00,10066.82
298,2026-01-05T14:27:27.789,10192.1,1,person,272,151,345,327,0.934,444.5,314.5,2.12,13.42,10080.23
299,2026-01-05T14:27:27.822,10225.1,1,person,274,150,346,328,0.930,447.0,314.0,2.55,16.12,10096.35
300,2026-01-05T14:27:27.855,10257.9,1,person,274,149,347,330,0.931,447.5,314.0,0.50,3.16,10099.52
301,2026-01-05T14:27:27.889,10291.9,1,person,276,147,349,331,0.929,450.5,312.5,3.35,21.21,10120.73
302,2026-01-05T14:27:27.925,10327.9,1,person,276,146,351,333,0.929,451.5,312.5,1.00,6.32,10127.05
303,2026-01-05T14:27:27.957,10359.9,1,person,276,145,352,333,0.924,452.0,311.5,1.12,7.07,10134.12
304,2026-01-05T14:27:27.991,10393.9,1,person,275,144,353,334,0.925,451.5,311.0,0.71,4.47,10138.60
305,2026-01-05T14:27:28.025,10427.9,1,person,273,144,353,335,0.925,449.5,311.5,2.06,13.04,10151.63
306,2026-01-05T14:27:28.058,10460.4,1,person,271,143,354,335,0.925,448.0,310.5,1.80,11.40,10163.03
307,2026-01-05T14:27:28.089,10491.4,1,person,271,142,356,337,0.925,449.0,310.5,1.00,6.32,10169.36
308,2026-01-05T14:27:28.121,10523.4,1,person,269,140,357,338,0.917,447.5,309.0,2.12,13.42,10182.77
309,2026-01-05T14:27:28.152,10554.4,1,person,265,139,358,339,0.924,444.0,308.5,3.54,22.36,10205.13
310,2026-01-05T14:27:28.185,10587.4,1,person,262,137,360,341,0.922,442.0,307.5,2.24,14.14,10219.28
311,2026-01-05T14:27:28.216,10618.4,1,person,258,135,361,343,0.917,438.5,306.5,3.64,23.02,10242.30
312,2026-01-05T14:27:28.249,10651.4,1,person,254,134,361,344,0.917,434.5,306.0,4.03,25.49,10267.79
313,2026-01-05T14:27:28.282,10684.4,1,person,251,133,362,345,0.923,432.0,305.5,2.55,16.12,10283.91
314,2026-01-05T14:27:28.312,10714.4,1,person,246,131,364,347,0.917,428.0,304.5,4.12,26.08,10309.99
315,2026-01-05T14:27:28.360,10762.4,1,person,243,130,365,348,0.923,425.5,304.0,2.55,16.12,10326.11
316,2026-01-05T14:27:28.391,10793.4,1,person,240,129,366,349,0.926,423.0,303.5,2.55,16.12,10342.24
317,2026-01-05T14:27:28.423,10825.4,1,person,238,129,366,350,0.918,421.0,304.0,2.06,13.04,10355.27
318,2026-01-05T14:27:28.455,10858.0,1,person,237,128,366,350,0.910,420.0,303.0,1.41,8.94,10364.22
319,2026-01-05T14:27:28.489,10892.0,1,person,229,128,365,350,0.926,411.5,303.0,8.50,53.76,10417.97
320,2026-01-05T14:27:28.523,10926.0,1,person,225,128,364,350,0.933,407.0,303.0,4.50,28.46,10446.43
321,2026-01-05T14:27:28.557,10960.0,1,person,222,128,364,350,0.935,404.0,303.0,3.00,18.97,10465.40
322,2026-01-05T14:27:28.589,10992.0,1,person,219,127,364,351,0.922,401.0,302.5,3.04,19.23,10484.64
323,2026-01-05T14:27:28.620,11023.0,1,person,216,127,364,352,0.920,398.0,303.0,3.04,19.23,10503.87
324,2026-01-05T14:27:28.652,11055.0,1,person,214,126,364,353,0.923,396.0,302.5,2.06,13.04,10516.91
325,2026-01-05T14:27:28.683,11086.0,1,person,211,124,365,354,0.925,393.5,301.0,2.92,18.44,10535.35
326,2026-01-05T14:27:28.715,11118.0,1,person,209,123,366,355,0.919,392.0,300.5,1.58,10.00,10545.35
327,2026-01-05T14:27:28.760,11162.5,1,person,206,121,368,357,0.910,390.0,299.5,2.24,14.14,10559.49
328,2026-01-05T14:27:28.793,11195.5,1,person,202,120,369,358,0.920,386.5,299.0,3.54,22.36,10581.85
329,2026-01-05T14:27:28.826,11228.5,1,person,199,118,372,360,0.916,385.0,298.0,1.80,11.40,10593.25
330,2026-01-05T14:27:28.858,11260.5,1,person,195,115,374,363,0.917,382.0,296.5,3.35,21.21,10614.46
331,2026-01-05T14:27:28.891,11293.5,1,person,192,113,377,366,0.927,380.5,296.0,1.58,10.00,10624.46
332,2026-01-05T14:27:28.926,11328.5,1,person,191,110,379,368,0.927,380.5,294.0,2.00,12.65,10637.11
333,2026-01-05T14:27:28.956,11358.5,1,person,188,106,382,372,0.927,379.0,292.0,2.50,15.81,10652.92
334,2026-01-05T14:27:28.987,11389.5,1,person,186,102,384,376,0.922,378.0,290.0,2.24,14.14,10667.06
335,2026-01-05T14:27:29.028,11430.5,1,person,184,99,385,380,0.930,376.5,289.0,1.80,11.40,10678.46
336,2026-01-05T14:27:29.072,11474.5,1,person,181,96,386,383,0.930,374.0,287.5,2.92,18.44,10696.90
337,2026-01-05T14:27:29.121,11523.5,1,person,181,93,386,385,0.937,374.0,285.5,2.00,12.65,10709.55
338,2026-01-05T14:27:29.168,11570.5,1,person,182,90,386,388,0.940,375.0,284.0,1.80,11.40,10720.95
339,2026-01-05T14:27:29.199,11601.5,1,person,184,86,387,392,0.934,377.5,282.0,3.20,20.25,10741.20
340,2026-01-05T14:27:29.229,11632.0,1,person,187,84,389,395,0.920,381.5,281.5,4.03,25.49,10766.69
341,2026-01-05T14:27:29.261,11664.0,1,person,189,82,390,396,0.920,384.0,280.0,2.92,18.44,10785.13
342,2026-01-05T14:27:29.295,11698.0,1,person,191,81,391,397,0.921,386.5,279.5,2.55,16.12,10801.25
343,2026-01-05T14:27:29.326,11729.0,1,person,191,81,391,398,0.934,386.5,280.0,0.50,3.16,10804.42
344,2026-01-05T14:27:29.358,11761.0,1,person,192,81,390,397,0.934,387.0,279.5,0.71,4.47,10808.89
345,2026-01-05T14:27:29.389,11792.0,1,person,194,82,389,397,0.930,388.5,280.5,1.80,11.40,10820.29
346,2026-01-05T14:27:29.421,11823.5,1,person,194,82,390,396,0.935,389.0,280.0,0.71,4.47,10824.76
347,2026-01-05T14:27:29.454,11856.5,1,person,193,82,391,396,0.937,388.5,280.0,0.50,3.16,10827.92
348,2026-01-05T14:27:29.486,11888.6,1,person,190,81,393,397,0.934,386.5,279.5,2.06,13.04,10840.96
349,2026-01-05T14:27:29.527,11929.5,1,person,181,80,398,398,0.926,380.0,279.0,6.52,41.23,10882.19
350,2026-01-05T14:27:29.559,11961.5,1,person,172,80,403,399,0.895,373.5,279.5,6.52,41.23,10923.42
351,2026-01-05T14:27:29.599,12001.7,1,person,163,79,408,399,0.910,367.0,278.5,6.58,41.59,10965.01
352,2026-01-05T14:27:29.658,12060.7,1,person,146,78,417,400,0.798,354.5,278.0,12.51,79.12,11044.12
353,2026-01-05T14:27:29.704,12106.2,1,person,129,75,429,403,0.843,343.5,276.5,11.10,70.21,11114.33
354,2026-01-05T14:27:29.753,12155.2,1,person,95,73,445,405,0.850,317.5,275.5,26.02,164.55,11278.89
355,2026-01-05T14:27:29.785,12187.7,1,person,71,71,460,408,0.857,301.0,275.0,16.51,104.40,11383.28
356,2026-01-05T14:27:29.816,12218.7,1,person,57,69,473,409,0.822,293.5,273.5,7.65,48.37,11431.65
357,2026-01-05T14:27:29.847,12249.7,1,person,51,70,483,408,0.828,292.5,274.0,1.12,7.07,11438.72
358,2026-01-05T14:27:29.880,12282.7,1,person,43,71,491,407,0.847,288.5,274.5,4.03,25.49,11464.22
359,2026-01-05T14:27:29.927,12329.7,1,person,37,72,498,406,0.875,286.0,275.0,2.55,16.12,11480.34
360,2026-01-05T14:27:29.959,12361.7,1,person,32,74,503,404,0.886,283.5,276.0,2.69,17.03,11497.37
361,2026-01-05T14:27:29.991,12393.7,1,person,27,76,507,402,0.890,280.5,277.0,3.16,20.00,11517.37
362,2026-01-05T14:27:30.025,12427.7,1,person,25,79,509,399,0.896,279.5,278.5,1.80,11.40,11528.77
363,2026-01-05T14:27:30.058,12460.7,1,person,22,80,512,398,0.894,278.0,279.0,1.58,10.00,11538.77
364,2026-01-05T14:27:30.093,12495.7,1,person,19,82,515,396,0.895,276.5,280.0,1.80,11.40,11550.17
365,2026-01-05T14:27:30.127,12529.7,1,person,16,82,519,396,0.896,275.5,280.0,1.00,6.32,11556.50
366,2026-01-05T14:27:30.164,12566.7,1,person,13,83,521,395,0.892,273.5,280.5,2.06,13.04,11569.53
367,2026-01-05T14:27:30.197,12599.7,1,person,11,84,522,394,0.904,272.0,281.0,1.58,10.00,11579.53
368,2026-01-05T14:27:30.233,12635.7,1,person,9,85,523,393,0.898,270.5,281.5,1.58,10.00,11589.53
369,2026-01-05T14:27:30.271,12673.7,1,person,7,86,524,393,0.900,269.0,282.5,1.80,11.40,11600.93
370,2026-01-05T14:27:30.311,12713.7,1,person,5,85,526,393,0.907,268.0,281.5,1.41,8.94,11609.88
371,2026-01-05T14:27:30.345,12747.7,1,person,4,85,527,393,0.909,267.5,281.5,0.50,3.16,11613.04
372,2026-01-05T14:27:30.379,12781.7,1,person,3,84,528,394,0.913,267.0,281.0,0.71,4.47,11617.51
373,2026-01-05T14:27:30.415,12817.7,1,person,0,83,530,395,0.914,265.0,280.5,2.06,13.04,11630.55
374,2026-01-05T14:27:30.451,12853.7,1,person,0,82,531,396,0.912,265.5,280.0,0.71,4.47,11635.02
375,2026-01-05T14:27:30.486,12888.7,1,person,0,81,531,397,0.911,265.5,279.5,0.50,3.16,11638.18
376,2026-01-05T14:27:30.519,12921.7,1,person,0,81,529,397,0.915,264.5,279.5,1.00,6.32,11644.51
377,2026-01-05T14:27:30.555,12957.7,1,person,0,81,529,397,0.914,264.5,279.5,0.00,0.00,11644.51
378,2026-01-05T14:27:30.601,13003.7,1,person,0,82,528,396,0.915,264.0,280.0,0.71,4.47,11648.98
379,2026-01-05T14:27:30.647,13049.7,1,person,0,83,525,395,0.916,262.5,280.5,1.58,10.00,11658.98
380,2026-01-05T14:27:30.701,13103.7,1,person,0,84,524,394,0.916,262.0,281.0,0.71,4.47,11663.45
381,2026-01-05T14:27:30.745,13148.0,1,person,0,84,525,394,0.916,262.5,281.0,0.50,3.16,11666.61
382,2026-01-05T14:27:30.776,13179.0,1,person,0,84,525,394,0.915,262.5,281.0,0.00,0.00,11666.61
383,2026-01-05T14:27:30.808,13210.2,1,person,1,83,526,395,0.919,264.0,280.5,1.58,10.00,11676.61
384,2026-01-05T14:27:30.857,13259.2,1,person,1,82,527,396,0.918,264.5,280.0,0.71,4.47,11681.08
385,2026-01-05T14:27:30.912,13314.2,1,person,1,82,528,396,0.917,265.0,280.0,0.50,3.16,11684.25
386,2026-01-05T14:27:30.964,13366.2,1,person,2,82,527,396,0.919,265.5,280.0,0.50,3.16,11687.41
387,2026-01-05T14:27:30.998,13400.2,1,person,1,82,528,396,0.923,265.0,280.0,0.50,3.16,11690.57

# End Time,2026-01-05T14:27:31.046103
# Duration (s),13.45
# Total Frames,387
