# GLIDER Experiment Data,,,,
# Experiment Name,Untitled Experiment,,,
# Start Time,2025-12-30T12:03:35.926117,,,
# Sample Interval (s),0.1,,,
,,,,
# Boards,,,,
#,Arduino,telemetrix,Connected,
,,,,
# Devices,,,,
#,led_1,DigitalOutput,board=Arduino,output=13
#,input,AnalogInput,board=Arduino,input=0
,,,,
timestamp,elapsed_ms,led_1:DigitalOutput,input:AnalogInput,
2025-12-30T12:04:06.951,31025.8,0,0,
2025-12-30T12:04:07.055,31128.9,0,0,
2025-12-30T12:04:07.170,31244.3,0,0,
2025-12-30T12:04:07.273,31346.9,0,0,
2025-12-30T12:04:07.383,31457,0,0,
2025-12-30T12:04:07.497,31571.2,0,0,
2025-12-30T12:04:07.604,31678.8,0,0,
2025-12-30T12:04:07.716,31789.9,0,0,
2025-12-30T12:04:07.829,31903,0,0,
2025-12-30T12:04:07.932,32006.8,0,0,
2025-12-30T12:04:08.042,32116.2,0,0,
2025-12-30T12:04:08.151,32225.9,0,0,
2025-12-30T12:04:08.260,32334.7,0,0,
2025-12-30T12:04:08.376,32450.1,0,0,
2025-12-30T12:04:08.479,32552.9,0,0,
2025-12-30T12:04:08.587,32661.6,0,0,
2025-12-30T12:04:08.707,32781.8,0,0,
2025-12-30T12:04:08.805,32879.4,0,0,
2025-12-30T12:04:08.915,32989.5,0,0,
2025-12-30T12:04:09.027,33101,0,0,
2025-12-30T12:04:09.139,33213.2,0,0,
2025-12-30T12:04:09.251,33325.7,0,0,
2025-12-30T12:04:09.351,33425.8,0,0,
2025-12-30T12:04:09.468,33542.5,0,0,
2025-12-30T12:04:09.571,33645.4,0,0,
2025-12-30T12:04:09.685,33759.2,0,0,
2025-12-30T12:04:09.794,33868.5,0,0,
2025-12-30T12:04:09.911,33985.6,0,0,
2025-12-30T12:04:10.021,34095.8,0,0,
2025-12-30T12:04:10.122,34196.4,0,0,
2025-12-30T12:04:10.232,34306.6,0,0,
2025-12-30T12:04:10.344,34418,0,0,
2025-12-30T12:04:10.446,34520,0,0,
2025-12-30T12:04:10.557,34631.6,0,0,
2025-12-30T12:04:10.667,34741.3,0,0,
2025-12-30T12:04:10.776,34850.6,0,0,
2025-12-30T12:04:10.891,34965.1,0,0,
2025-12-30T12:04:10.994,35068.3,0,0,
2025-12-30T12:04:11.103,35177.2,0,0,
2025-12-30T12:04:11.217,35291.3,0,0,
2025-12-30T12:04:11.320,35394.5,0,0,
2025-12-30T12:04:11.431,35505.3,0,0,
2025-12-30T12:04:11.543,35617.1,0,0,
2025-12-30T12:04:11.654,35728.3,0,0,
2025-12-30T12:04:11.757,35831.1,0,0,
2025-12-30T12:04:11.872,35946.5,0,0,
2025-12-30T12:04:11.981,36055.8,0,0,
